Park Name,Address,lat,lng
Cesar Chavez Park,"700 S Cloverdale St, Seattle, WA 98108, USA",47.5264889,-122.3243512
Charles Richey Sr Viewpoint,"3521 Beach Dr SW, Seattle, WA 98116, USA",47.5748256,-122.418584
Cheasty Boulevard,"Cheasty Blvd S, Seattle, WA, USA",47.5682784,-122.2993245
Cheasty GS: Cheasty Blvd,"Cheasty Blvd S, Seattle, WA, USA",47.5682784,-122.2993245
Cheshiahud Lake Union Loop,"Seattle, WA, USA",47.6062095,-122.3320708
Chinook Beach Park,"700 S Cloverdale St, Seattle, WA 98108, USA",47.5264889,-122.3243512
Christie Park,"817 NE 43rd St, Seattle, WA 98105, USA",47.6594493,-122.3196252
City Hall Park,"450 3rd Ave, Seattle, WA 98104, USA",47.60191870000001,-122.3306018
Cleveland Playfield,"5512 13th Ave S, Seattle, WA 98108, USA",47.552011,-122.315546
Coe Play Park,"2420 7th Ave W, Seattle, WA 98119, USA",47.6404064,-122.3662331
College Street Park,"30th Ave S, United States",46.8348319,-96.79545379999999
College Street Ravine,"5050 SW College St, Seattle, WA 98116, USA",47.5829746,-122.3971819
Colman Park,"1800 Lake Washington Blvd S, Seattle, WA 98144, USA",47.586835,-122.287727
Colman Playground,"1740 23rd Ave S, Seattle, WA 98144, USA",47.5877787,-122.3025774
Columbia Park,"4721 Rainier Ave S, Seattle, WA 98118, USA",47.5599006,-122.2869591
Commodore Park,"3330 W Commodore Way, Seattle, WA 98199, USA",47.6652241,-122.4006673
Condon Way Centerstrip,"W Blaine St, Seattle, WA, USA",47.6348477,-122.3761886
Corliss Place,"2166 N 50th St, Seattle, WA 98103, USA",47.6650156,-122.3321238
Cormorant Cove,"3701 Beach Dr SW, Seattle, WA 98116, USA",47.57316549999999,-122.4151306
Cottage Grove Park,"5206 26th Ave SW, Seattle, WA 98106, USA",47.554599,-122.3660304
Counterbalance Park: An Urban Oasis,"700 Queen Anne Ave N, Seattle, WA 98109, USA",47.6254594,-122.3566877
Cowen Park,"5849 15th Ave NE, Seattle, WA 98115, USA",47.672283,-122.3121938
Crescent Place,"7515 Orin Ct N, Seattle, WA 98103, USA",47.6842866,-122.3331198
Crown Hill Glen,"8735 19th Ave NW, Seattle, WA 98117, USA",47.6934327,-122.3813655
Crown Hill Park,"9089 Holman Rd NW, Seattle, WA 98117, USA",47.6969021,-122.3732094
Daejeon Park,"1144 Sturgus Ave S, Seattle, WA 98144, USA",47.5923031,-122.312858
Dahl (Waldo J.) Playfield,"7700 25th Ave NE, Seattle, WA 98115, USA",47.6856909,-122.3007528
Dakota Place Park,"4304 SW Dakota St, Seattle, WA 98116, USA",47.5668409,-122.387168
David Rodgers Park,"2800 1st Ave W, Seattle, WA 98119, USA",47.64497189999999,-122.3581472
Day Street Boat Ramp,"1402 Lakeside Ave S, Seattle, WA 98144, USA",47.5898942,-122.2864054
Dearborn Park,"2919 S Brandon St, Seattle, WA 98108, USA",47.5535901,-122.296503
Delridge Playfield,"4458 Delridge Way SW, Seattle, WA 98106, USA",47.5630649,-122.3633333
Denny Blaine Lake Park,"100 Maiden Ln E, Seattle, WA 98112, USA",47.6180175,-122.2847407
Denny Blaine Park,"200 Lake Washington Blvd E, Seattle, WA 98112, USA",47.6201239,-122.2802737
Denny Park,"100 Dexter Ave N, Seattle, WA 98109, USA",47.618561,-122.3423885
Discovery Park,"West Point Lighthouse, 3801 Discovery Park Blvd, Seattle, WA 98199, USA",47.6619764,-122.4357048
Don Armeni Boat Ramp,"1222 Harbor Ave SW, Seattle, WA 98116, USA",47.592816,-122.3831485
Dr. Blanche Lavizzo Park,"2100 S Jackson St, Seattle, WA 98144, USA",47.5998916,-122.3038096
Dr. Jose Rizal Park,"1007 12th Ave S, Seattle, WA 98144, USA",47.5922022,-122.3174963
Duwamish Waterway Park,"7900 10th Ave S, Seattle, WA 98108, USA",47.53147999999999,-122.319825
E.C. Hughes Playground,"2805 SW Holden St, Seattle, WA 98126, USA",47.533701,-122.3685537
East Montlake Park,"2802 E Park Dr E, Seattle, WA 98112, USA",47.6459216,-122.3015881
East Portal Viewpoint,"1400 Lake Washington Blvd S, Seattle, WA 98144, USA",47.5899718,-122.2891174
East Queen Anne Playground,"1912 Warren Ave N, Seattle, WA 98109, USA",47.6361537,-122.3540074
Eastlake Triangle,"E 10th Ave, Kansas, USA",37.2758343,-97.2582151
Eastmont Place,"2201 Westmont Way W, Seattle, WA 98199, USA",47.6377876,-122.4055339
Eddie Vine Boat Ramp,"8001 Seaview Ave NW, Seattle, WA 98117, USA",47.6866066,-122.4031816
Ella Bailey Park,"2601 W Smith St, Seattle, WA 98199, USA",47.6411555,-122.3907043
Emma Schmitz Memorial Overlook,"4503 Beach Dr SW, Seattle, WA 98116, USA",47.562957,-122.4063119
Endolyne Park,"9827 49th Ave SW, Seattle, WA 98136, USA",47.5147598,-122.3942854
Ercolini Park,"4542 48th Ave SW, Seattle, WA 98116, USA",47.561512,-122.393086
Fairmount Playground,"5400 Fauntleroy Way SW, Seattle, WA 98136, USA",47.553315,-122.3816099
Fairview Park,"2900 Fairview Ave E, Seattle, WA 98102, USA",47.6468117,-122.3261718
Fairview Walkway,"1251 Fairview Ave N, Seattle, WA 98109, USA",47.6303418,-122.3289346
Fauntleroy Creek Ravine,"9102 Fauntleroy Way SW, Seattle, WA 98136, USA",47.5223087,-122.3928408
Fauntleroy Park,"3951 SW Barton St, Seattle, WA 98136, USA",47.52102199999999,-122.3831741
Fauntleroy Place,"4501 Fauntleroy Way SW, Seattle, WA 98126, USA",47.56288230000001,-122.379311
Ferdinand Street Boat Launch,"5018 Lake Washington Blvd S, Seattle, WA 98118, USA",47.55692680000001,-122.2624471
